name,category,subCategory,availableQuantity,orderedQuantity,price,image
Blue School Bag with Laptop,accessories,bags,191,0,136,https://ae01.alicdn.com/kf/HTB1FWMmm3DD8KJjy0Fdq6AjvXXaN/XINCADA-Vintage-Retro-Style-Crossbody-Cross-body-Sling-Bag-Small-Messenger-Man-Purse-Shoulder-Travel-Chest.jpg_960x960.jpg
UV protected Square Men's Sunglasses,accessories,sunglass,166,0,385,https://ae01.alicdn.com/kf/HTB1M2OtafLsK1Rjy0Fbq6xSEXXaC.jpg
Black Round Sunglasses For Men,accessories,sunglass,156,0,570,https://ae01.alicdn.com/kf/HTB1M2OtafLsK1Rjy0Fbq6xSEXXaC.jpg
Noble Blue 32 Ltrs Casual bagpack,accessories,bags,187,0,363,https://pyxis.nymag.com/v1/imgs/159/dc0/815213684d7f8050233328a25c6b1ba9fe-pc-messenger-bags-for-men-lede.rsquare.w700.jpg
Black Men's Wallet,accessories,wallets,176,0,699,https://cdn.gearpatrol.com/wp-content/uploads/2018/06/The-30-Best-Wallets-for-Men-gear-patrol-full-lead-02.jpg
Blue Men's Wallet,accessories,wallets,170,0,877,https://ae01.alicdn.com/kf/HTB1.zM9KVXXXXcBXVXXq6xXFXXXG/Canvas-Wallet-Boys-Short-Purse-Money-Bag-3-Colors-Young-Men-Card-Holder-Kids-Student-Wallets.jpg
15.6 Inch Laptop Backpack,accessories,bags,172,0,867,https://cdn.hiconsumption.com/wp-content/uploads/2019/10/Best-Work-Bags-For-Men-0-Hero.jpg
Polestar Hero 32 Casual Backpack,accessories,bags,175,0,596,https://i.pinimg.com/originals/a8/46/09/a84609ac0a4efe0b7511a02f2cc8447d.jpg
F Gear Luxur Laptop Backpack,accessories,bags,134,0,373,https://i.pinimg.com/originals/a8/46/09/a84609ac0a4efe0b7511a02f2cc8447d.jpg
Men's Genuine Leather Wallet ,accessories,wallets,156,0,188,https://gloimg.drlcdn.com/L/pdm-provider-img/straight-product-img/20171209/T011454/T0114540033/source-img/183558-6973.jpg
RFID ProtectedLeather Wallet,accessories,wallets,180,0,639,https://i2.wp.com/www.watch4today.com/wp-content/uploads/2018/12/BULLCAPTAIN-New-Arrival-Men-Wallet-Cowhide-Coin-Purse-Designer-Brand-Wallet-clutch-RFID-leather-wallet-man-1.jpg?fit=800%2C800&ssl=1
Anti-Theft Water Resistant Laptop Backpack,accessories,bags,138,0,984,https://pyxis.nymag.com/v1/imgs/159/dc0/815213684d7f8050233328a25c6b1ba9fe-pc-messenger-bags-for-men-lede.rsquare.w700.jpg
Black Men's Wallet,accessories,wallets,112,0,570,https://cdn.gearpatrol.com/wp-content/uploads/2018/06/The-30-Best-Wallets-for-Men-gear-patrol-full-lead-02.jpg
Protected Genuine High Quality Leather Wallet,accessories,wallets,154,0,837,https://i0.wp.com/pickawallet.com/wp-content/uploads/2016/11/fashion-men-wallets-famous-brand-genuine-leather-wallet-hasp-design-wallets-with-coin-pocket-purse-card.jpg?fit=800%2C800&ssl=1
Super Fibre Analog Watch,accessories,watches,133,0,356,https://pmcspy.files.wordpress.com/2019/07/best-mens-watches-2019-e1565040231745.jpg?w=714
Tony stark style Sunglasses Original,accessories,sunglass,124,0,888,https://ae01.alicdn.com/kf/H2f4f515268c4430c9cbb6f478f77782eS/Steampunk-Men-Sunglasses-Round-Metal-Sun-Glasses-Women-Retro-Flip-Fashion-Brand-Party-Sunglasses-Mens-UV400.jpg
Brown Men's Wallet,accessories,wallets,107,0,557,https://i2.wp.com/www.watch4today.com/wp-content/uploads/2018/12/BULLCAPTAIN-New-Arrival-Men-Wallet-Cowhide-Coin-Purse-Designer-Brand-Wallet-clutch-RFID-leather-wallet-man-1.jpg?fit=800%2C800&ssl=1
Cotton Casual Shirt Full Sleeves,clothing,shirt,184,0,651,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/7/0/7003947_2.jpg
Cotton Casual Shirt ,clothing,shirt,122,0,676,https://previews.123rf.com/images/victorias/victorias1707/victorias170700012/81561785-cheerful-man-in-checked-shirt-and-smart-casual-wear-looking-at-camera-handsome-guy-in-street-clothes.jpg
Slim Fit Jeans,clothing,zeans,149,0,434,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Cotton Formal Shirt,clothing,shirt,188,0,719,https://previews.123rf.com/images/victorias/victorias1707/victorias170700012/81561785-cheerful-man-in-checked-shirt-and-smart-casual-wear-looking-at-camera-handsome-guy-in-street-clothes.jpg
Cotton Waist Coat Style Tshirt,clothing,shirt,102,0,397,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/7/0/7003947_2.jpg
Purple Printed T-Shirt,clothing,t-shirt,165,0,379,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Round Neck Navy Cotton Tshirt,clothing,t-shirt,200,0,356,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/08/12/11/best-mens-tshirt-indybest.jpg
Checkered Formal Shirt,clothing,shirt,141,0,591,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
Cotton T-Shirt,clothing,t-shirt,192,0,654,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Full Sleeve Hooded T-Shirt,clothing,t-shirt,165,0,769,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Slim Fit Casual Shirt,clothing,shirt,141,0,616,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/i/t/itbsh00254_pink.jpg
Regular Fit Men's T-Shirt,clothing,t-shirt,160,0,794,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Regular Fit Denim Jeans,clothing,zeans,148,0,571,https://www.realmenrealstyle.com/wp-content/uploads/Denim-Jeans-1.jpg
Regular Fit T-Shirt,clothing,t-shirt,115,0,772,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/08/12/11/best-mens-tshirt-indybest.jpg
Black Slim Fit Stretch Jeans,clothing,zeans,130,0,533,https://previews.123rf.com/images/prometeus/prometeus1603/prometeus160300101/53116588-full-length-portrait-of-a-handsome-man-wearing-jeans-clothes-and-a-coat-men-s-beauty-seasonal-fashio.jpg
White Cotton T Shirt,clothing,t-shirt,133,0,588,https://sc02.alicdn.com/kf/HTB1Y7sedAOWBuNjSsppq6xPgpXay.jpg
Full Sleeve Cotton Formal Shirt,clothing,shirt,181,0,305,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/i/t/itbsh00254_pink.jpg
Regular Fit T-Shirt,clothing,t-shirt,158,0,611,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/08/12/11/best-mens-tshirt-indybest.jpg
Slim Fit Jeans ,clothing,zeans,117,0,745,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Cotton Long Sleeve Top (Vnk),clothing,t-shirt,175,0,601,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/08/12/11/best-mens-tshirt-indybest.jpg
Cotton T Shirt,clothing,t-shirt,187,0,405,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Plain Solid Cotton Causal Shirt,clothing,shirt,104,0,631,https://previews.123rf.com/images/victorias/victorias1707/victorias170700012/81561785-cheerful-man-in-checked-shirt-and-smart-casual-wear-looking-at-camera-handsome-guy-in-street-clothes.jpg
Cotton Chinese Collar Plain  Shirt,clothing,shirt,153,0,436,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
Basic Cotton Round Neck Half Sleeve Solid T-Shirt,clothing,t-shirt,178,0,545,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Slim Fit Stretchable Jeans,clothing,zeans,160,0,735,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Cotton Casual White Shirt,clothing,shirt,162,0,420,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/7/0/7003947_2.jpg
Cotton Casual Shirt Full Sleeves,clothing,shirt,109,0,373,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
Slim Fit Jeans,clothing,zeans,136,0,602,https://previews.123rf.com/images/prometeus/prometeus1603/prometeus160300101/53116588-full-length-portrait-of-a-handsome-man-wearing-jeans-clothes-and-a-coat-men-s-beauty-seasonal-fashio.jpg
Cotton Casual Shirt Full Sleeves,clothing,shirt,127,0,448,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/7/0/7003947_2.jpg
Round Neck Full Sleeve T-Shirt,clothing,t-shirt,113,0,673,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Denim Regular Fit Jeans,clothing,zeans,167,0,595,https://www.realmenrealstyle.com/wp-content/uploads/Denim-Jeans-1.jpg
Jogger Jeans Stretch,clothing,zeans,167,0,364,https://www.realmenrealstyle.com/wp-content/uploads/Denim-Jeans-1.jpg
Jogger Jeans Stretch,clothing,zeans,124,0,416,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Cotton Solid Half Sleeve Shirt,clothing,shirt,121,0,326,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/i/t/itbsh00254_pink.jpg
Slim Fit Jeans,clothing,zeans,131,0,368,https://previews.123rf.com/images/prometeus/prometeus1603/prometeus160300101/53116588-full-length-portrait-of-a-handsome-man-wearing-jeans-clothes-and-a-coat-men-s-beauty-seasonal-fashio.jpg
Cotton Casual Shirt for Men Full Sleeves,clothing,shirt,197,0,652,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/7/0/7003947_2.jpg
Yellow T-Shirt,clothing,t-shirt,104,0,798,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Slim Fit Black Stretch Jeans,clothing,zeans,182,0,607,https://previews.123rf.com/images/prometeus/prometeus1603/prometeus160300101/53116588-full-length-portrait-of-a-handsome-man-wearing-jeans-clothes-and-a-coat-men-s-beauty-seasonal-fashio.jpg
Cotton Roundneck T-Shirt,clothing,t-shirt,178,0,480,https://sc02.alicdn.com/kf/HTB1Y7sedAOWBuNjSsppq6xPgpXay.jpg
Solid Regular Fit T-Shirt,clothing,t-shirt,133,0,504,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Casual Shirt,clothing,shirt,127,0,305,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
Poly Cotton Tshirt,clothing,t-shirt,184,0,775,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
